,Role_Coach
0,0.492933038
1,0.092588469
2,0.171513755
3,0.074850368
4,0.646206345
5,0.15087847
6,0.299062397
7,0.064101802
8,0.4171826629999999
9,0.5037116460000001
10,0.299355301
11,0.176742992
12,0.109201805
13,0.426568664
14,0.16237261
15,0.118571328
16,0.025814844
17,0.135949419
18,0.243045028
19,0.038902273
20,0.3409265529999999
21,0.02027883
22,0.022286929
23,0.151375854
24,0.175367267
25,0.052563475
26,0.178044676
27,0.524510621
28,0.011117831
29,0.166898434
30,0.124158046
31,0.05572914
32,0.10909367
33,0.5037116460000001
34,0.115887295
35,0.259608898
36,0.635795824
37,0.152555911
38,0.0
39,0.180840394
40,0.219601073
41,0.231675955
42,0.031197198
43,0.128670586
44,0.191282168
45,0.114306567
46,0.340227561
47,0.407676165
48,0.313245612
49,0.0
50,0.400677432
51,0.037583913
52,0.4278480739999999
53,0.238870925
54,0.3582147539999999
55,0.362891088
56,0.503768978
57,0.495435154
58,0.140091575
59,0.373789285
60,0.321352695
61,0.40402128
62,0.273632876
63,0.3504390779999999
64,0.159723655
65,0.0123421089999999
66,0.147004374
67,0.156829546
68,0.161017372
69,0.100025569
70,0.171764047
71,0.0
72,0.148802631
73,0.0
74,0.0
75,0.304507177
76,0.063172986
77,0.115394927
78,0.316261671
79,0.435746064
80,0.028635288
81,0.370300268
82,0.466542103
83,0.2255042569999999
84,0.213838725
85,0.140016614
86,0.009753485
87,0.030664651
88,0.115464241
89,0.128215278
90,0.215666243
91,0.0
92,0.177959305
93,0.079928193
94,0.300555809
95,0.332429492
96,0.037063649
97,0.013674478
98,0.0753558159999999
99,0.067869018
100,0.194363218
101,0.189341192
102,0.647343973
103,0.172923853
104,0.193526712
105,0.147451806
106,0.2046442939999999
107,0.069437609
108,0.217377836
109,0.450937483
110,0.274586617
111,0.10063422
112,0.3886890979999999
113,0.069178265
114,0.099802344
115,0.098667851
116,0.316986289
117,0.297105244
118,0.461834246
119,0.143622815
120,0.337588128
121,0.164918469
122,0.667804422
123,0.072609931
124,0.1847690689999999
125,0.255707462
126,0.0
127,0.3536040379999999
128,0.002767477
129,0.279062163
130,0.33541575
131,0.332249485
132,0.234003728
133,0.192166281
134,0.369034869
135,0.4354550239999999
136,0.4426251329999999
137,0.165817152
138,0.39255512
139,0.0154108819999999
140,0.456173021
141,0.287807085
142,0.117583395
143,0.12536143
144,0.102777513
145,0.196207698
146,0.302647067
147,0.0
148,0.4917660029999999
149,0.120129296
150,0.306204159
151,0.303337943
152,0.1330961219999999
153,0.063213629
154,0.5037116460000001
155,0.006243149
156,0.18937388
157,0.381207086
158,0.186164458
159,0.228201981
160,0.0
161,0.16946384
162,0.0222240589999999
163,0.0057004709999999
164,0.172785101
165,0.066115653
166,0.379733521
167,0.37748034
168,0.268014968
169,0.070751938
170,0.45525391
171,0.208980763
172,0.088789654
173,0.134467285
174,0.063365285
175,0.263681729
176,0.371857651
177,0.3274442
178,0.0
179,0.177056983
180,0.001027395
181,0.195080808
182,0.139811091
183,0.268702533
184,0.0857376369999999
185,0.467875483
186,0.358572032
187,0.0
188,0.582016075
189,0.433955869
190,0.0
191,0.424394291
192,0.055351141
193,0.2268236189999999
194,0.123835813
195,0.109395472
196,0.122533989
197,0.1495164209999999
198,0.222792693
199,0.341466738
200,0.101951134
201,0.073209338
202,0.28397132
203,0.238728541
204,0.231718263
205,0.5037116460000001
206,0.6092243629999999
207,0.285451479
208,0.249077931
209,0.200222418
210,0.021846507
211,0.25219666
212,0.216750707
213,0.227474171
214,0.4915717979999999
215,0.330671449
216,0.1941438439999999
217,0.417717875
218,0.3394504379999999
219,0.306183161
220,0.291667305
221,0.195184558
222,0.3649245829999999
223,0.5037116460000001
224,0.256820864
225,0.027357831
226,0.167183774
227,0.352930949
228,0.4239231189999999
229,0.270586698
230,0.279073325
231,0.306043065
232,0.3681389679999999
233,0.15423581
234,0.5037116460000001
235,0.145305022
236,0.5037116460000001
237,0.5037116460000001
238,0.162810298
239,0.276138422
240,0.390919065
241,0.359699845
242,0.557222982
243,0.238888846
244,0.3368764929999999
245,0.2283829819999999
246,0.077885122
247,0.5037116460000001
248,0.5037116460000001
249,0.0
250,0.0
251,0.3915475229999999
252,0.388223714
253,0.491427891
254,0.103240783
255,0.5135974839999999
256,0.5037116460000001
257,0.080757858
258,0.4821199479999999
259,0.095128958
260,0.318526453
261,0.0779335209999999
262,0.275149294
263,0.5037116460000001
264,0.400916367
265,0.330242414
266,0.314918858
267,0.0899796569999999
268,0.3358549329999999
269,0.152212617
270,0.0081785019999999
271,0.0
272,0.152212617
273,0.078996992
274,0.160728611
275,0.389144348
276,0.066977024
277,0.701628757
278,0.23489501
279,0.168532461
280,0.057769195
281,0.220627926
282,0.152212617
283,0.185333335
284,0.164903319
285,0.23071739
286,0.412667456
287,0.247290718
288,0.122180668
289,0.244196856
290,0.302587875
291,0.08424222
292,0.212566024
293,0.224820868
294,0.5037116460000001
295,0.152212617
296,0.152212617
297,0.23730459
298,0.30671712
299,0.110890349
300,0.176529715
301,0.017529233
302,0.088899538
303,0.12061545
304,0.093798635
305,0.256270668
306,0.310453151
307,0.159870883
308,0.3800469529999999
309,0.355744179
310,0.290118106
311,0.268785789
312,0.628122991
313,0.173148051
314,0.264806855
315,0.341314876
316,0.206109443
317,0.001103187
318,0.0433424559999999
319,0.14898379
320,0.102475698
321,0.0
322,0.264421432
323,0.05940986
324,0.17289208
325,0.218566039
326,0.422356942
327,0.312296711
328,0.0
329,0.152212617
330,0.127127595
331,0.341270775
332,0.0581651459999999
333,0.309365063
334,0.275135036
335,0.614908021
336,0.156043472
337,0.5037116460000001
338,0.206972806
339,0.126877974
340,0.423858177
341,0.29139227
342,0.254767975
343,0.5037116460000001
344,0.412667456
345,0.336252289
346,0.313650321
347,0.2718692889999999
348,0.186669591
349,0.309677033
350,0.3363798429999999
351,0.265123693
352,0.215703394
353,0.365306676
354,0.412667456
355,0.235420793
356,0.2047453239999999
357,0.185815916
358,0.164488935
359,0.08497797
360,0.362657102
361,0.208662837
362,0.208983391
363,0.106701638
364,0.201343484
365,0.108342253
366,0.45207531
367,0.2252928189999999
368,0.3367957379999999
369,0.460321402
370,0.5037116460000001
371,0.352137992
372,0.5274929660000001
373,0.162843381
374,0.23316575
375,0.220285554
376,0.108069156
377,0.3988237879999999
378,0.246422914
379,0.0742617159999999
380,0.110748666
381,0.32636997
382,0.5037116460000001
383,0.179769441
384,0.337045771
385,0.1708359139999999
386,0.302507261
387,0.326657391
388,0.0
389,0.0
390,0.0
391,0.067932173
392,0.241542817
393,0.0565542459999999
394,0.345943383
395,0.5037116460000001
396,0.0
397,0.151769994
398,0.3962824129999999
399,0.268784371
400,0.222732283
401,0.273819369
402,0.285302522
403,0.034982921
404,0.247993386
405,0.246205611
406,0.1568025519999999
407,0.5037116460000001
408,0.5037116460000001
409,0.177801006
410,0.0662268709999999
411,0.069145106
412,0.0
413,0.5037116460000001
414,0.19370509
415,0.068933418
416,0.5037116460000001
417,0.081086802
418,0.048725937
419,0.035848167
420,0.152212617
421,0.134335149
422,0.5037116460000001
423,0.223286721
424,0.0205823589999999
425,0.5037116460000001
426,0.5037116460000001
427,0.5037116460000001
428,0.5037116460000001
429,0.226768747
430,0.5037116460000001
431,0.152212617
432,0.0
433,0.327865994
434,0.5037116460000001
435,0.5037116460000001
436,0.5037116460000001
437,0.0
438,0.0781931429999999
439,0.5037116460000001
440,0.5037116460000001
441,0.080129907
442,0.152212617
443,0.5037116460000001
444,0.5037116460000001
445,0.5037116460000001
446,0.5037116460000001
447,0.348450839
448,0.5037116460000001
449,0.327678186
450,0.5037116460000001
451,0.0
452,0.227454528
453,0.5037116460000001
454,0.337908426
455,0.12752254
456,0.073742389
457,0.191692858
458,0.372742523
459,0.167523381
460,0.5037116460000001
461,0.173988946
462,0.489310446
463,0.5037116460000001
464,0.242948506
465,0.5037116460000001
466,0.5037116460000001
467,0.5037116460000001
468,0.444528601
469,0.5037116460000001
470,0.367926249
471,0.0
472,0.5037116460000001
473,0.5037116460000001
474,0.147262909
475,0.0950613219999999
476,0.5037116460000001
477,0.5037116460000001
478,0.475119042
479,0.205232109
480,0.145028045
481,0.152212617
482,0.5037116460000001
483,0.074732776
484,0.5037116460000001
485,0.5037116460000001
486,0.065763119
487,0.5037116460000001
488,0.0
489,0.549612284
490,0.152212617
491,0.0297536789999999
492,0.113228128
493,0.135769309
494,0.5037116460000001
495,0.125585069
496,0.5037116460000001
497,0.5037116460000001
498,0.5037116460000001
499,0.0
500,0.5037116460000001
501,0.5037116460000001
502,0.185652865
503,0.5037116460000001
504,0.013086195
505,0.132184591
506,0.5037116460000001
507,0.2306887819999999
508,0.152212617
509,0.085180845
510,0.1223516519999999
511,0.120984564
512,0.16616871
513,0.0775480779999999
514,0.182096888
515,0.5037116460000001
516,0.0
517,0.008056227
518,0.281065687
519,0.5037116460000001
520,0.125961128
521,0.5037116460000001
522,0.302886321
523,0.281674626
524,0.5037116460000001
525,0.166987614
526,0.5037116460000001
527,0.14349129
528,0.0
529,0.294978615
530,0.152212617
531,0.5037116460000001
532,0.306686196
533,0.152212617
534,0.140621567
535,0.042296741
536,0.0
537,0.137747388
538,0.152212617
539,0.096095494
540,0.5037116460000001
541,0.140617883
542,0.0
543,0.223901035
544,0.5037116460000001
545,0.223029427
546,0.167776655
547,0.5037116460000001
548,0.1142590219999999
549,0.152212617
550,0.152212617
551,0.007564074
552,0.5037116460000001
553,0.5037116460000001
554,0.246974887
555,0.5037116460000001
556,0.0
557,0.5037116460000001
558,0.22331439
559,0.152212617
560,0.2232868539999999
561,0.026888215
562,0.152212617
563,0.11580637
564,0.050761129
565,0.5037116460000001
566,0.0
567,0.197600838
568,0.5037116460000001
569,0.0
570,0.630590456
571,0.5037116460000001
572,0.0
573,0.436765863
574,0.2081630739999999
575,0.043449204
576,0.0
577,0.170792508
578,0.066587287
579,0.187105971
580,0.06704315
581,0.152212617
582,0.240557543
583,0.5037116460000001
584,0.5037116460000001
585,0.0
586,0.1848500139999999
587,0.5037116460000001
588,0.183652975
589,0.5037116460000001
590,0.5037116460000001
591,0.5037116460000001
592,0.468797417
593,0.5037116460000001
594,0.0
595,0.314186772
596,0.5037116460000001
597,0.0872857309999999
598,0.253401777
599,0.084300139
600,0.0
601,0.0
602,0.41876588
603,0.006360576
604,0.389553981
605,0.2176381339999999
606,0.5037116460000001
607,0.182938856
608,0.5037116460000001
609,0.06732922
610,0.058043512
611,0.0
612,0.0852391369999999
613,0.067750814
614,0.386473961
615,0.018189876
616,0.152212617
617,0.116641544
618,0.152212617
619,0.5037116460000001
620,0.5037116460000001
621,0.0
622,0.0
623,0.211927444
624,0.331029615
625,0.0
626,0.333946321
627,0.152212617
628,0.5037116460000001
629,0.4163770979999999
630,0.152212617
