,Role_Commander
0,0.4498074079999999
1,0.277163258
2,0.3610469879999999
3,0.419304354
4,0.150856416
5,0.5560284360000001
6,0.519846365
7,0.456178849
8,0.214941968
9,0.444177572
10,0.527249344
11,0.468442645
12,0.52497088
13,0.529219096
14,0.506291033
15,0.696681718
16,0.6837553909999999
17,0.69149677
18,0.277436521
19,0.629133948
20,0.4727730529999999
21,0.554208762
22,0.550131166
23,0.49526294
24,0.242301777
25,0.630879496
26,0.352690195
27,0.437680582
28,0.7213259479999999
29,0.622228196
30,0.5989703679999999
31,0.4715257989999999
32,0.58734648
33,0.444177572
34,0.663101378
35,0.377471401
36,0.265972265
37,0.6339785729999999
38,0.605021764
39,0.307595276
40,0.154390719
41,0.424987794
42,0.653292294
43,0.707652541
44,0.5751928479999999
45,0.6742983220000001
46,0.386299496
47,0.275839513
48,0.495965084
49,0.492715975
50,0.3806731279999999
51,0.7035847
52,0.387694156
53,0.384579077
54,0.590438247
55,0.2115807469999999
56,0.345063698
57,0.484851341
58,0.459447235
59,0.2585112189999999
60,0.243399117
61,0.255647707
62,0.472990331
63,0.4911135729999999
64,0.4002606979999999
65,0.624787396
66,0.547607628
67,0.5152459189999999
68,0.648402241
69,0.582418907
70,0.6146751020000001
71,0.415861465
72,0.521385456
73,0.394927088
74,0.394927088
75,0.454467183
76,0.607430762
77,0.620152554
78,0.665641842
79,0.333992253
80,0.5579534079999999
81,0.573229232
82,0.258120199
83,0.776550533
84,0.4602815229999999
85,0.560380851
86,0.716986373
87,0.593948707
88,0.5971320960000001
89,0.639013883
90,0.277545747
91,0.716967795
92,0.577939662
93,0.4939282239999999
94,0.422145461
95,0.501919591
96,0.358216517
97,0.675154402
98,0.452051555
99,0.506913317
100,0.664749881
101,0.674407147
102,0.3542371829999999
103,0.543263979
104,0.465015802
105,0.571417843
106,0.252224149
107,0.610972672
108,0.498564366
109,0.4171545929999999
110,0.422183469
111,0.672907367
112,0.185020876
113,0.6947580659999999
114,0.5870865439999999
115,0.623956926
116,0.365227232
117,0.596328021
118,0.366803375
119,0.344458431
120,0.3448493689999999
121,0.458580924
122,0.220240365
123,0.7426155109999999
124,0.5628912939999999
125,0.56218422
126,0.390216547
127,0.241220369
128,0.567018601
129,0.48478877
130,0.554966386
131,0.539579762
132,0.436204222
133,0.343230993
134,0.483578102
135,0.41253163
136,0.351329476
137,0.670377538
138,0.446967587
139,0.581323475
140,0.374607708
141,0.411942608
142,0.661877971
143,0.439785442
144,0.400143739
145,0.562397837
146,0.276995174
147,0.743830805
148,0.285199615
149,0.675392876
150,0.593605784
151,0.440995477
152,0.673484912
153,0.6940166179999999
154,0.444177572
155,0.591939957
156,0.523712362
157,0.460761587
158,0.592624495
159,0.643327193
160,0.6433263779999999
161,0.431381415
162,0.696901379
163,0.55914729
164,0.503116715
165,0.651223172
166,0.381355911
167,0.418515289
168,0.459587805
169,0.608731669
170,0.335024968
171,0.452819749
172,0.5125068420000001
173,0.484673431
174,0.567485378
175,0.598198856
176,0.398174842
177,0.619083456
178,0.706926671
179,0.702110797
180,0.602594695
181,0.403071083
182,0.843376598
183,0.5854871460000001
184,0.558803824
185,0.375343541
186,0.337375892
187,0.62042519
188,0.239894069
189,0.3867774989999999
190,0.636432614
191,0.386087015
192,0.730527226
193,0.49966732
194,0.755896545
195,0.309939262
196,0.7128932720000001
197,0.484265222
198,0.395586527
199,0.19258856
200,0.627177181
201,0.467051911
202,0.617781089
203,0.440542311
204,0.570314758
205,0.444177572
206,0.433126174
207,0.350540485
208,0.5653825720000001
209,0.541521777
210,0.430139273
211,0.551920964
212,0.5219605429999999
213,0.028114471
214,0.1247115319999999
215,0.4507863829999999
216,0.70451254
217,0.19773656
218,0.230855646
219,0.388563728
220,0.426553906
221,0.511858457
222,0.33515468
223,0.444177572
224,0.559689369
225,0.64618254
226,0.455776966
227,0.524963671
228,0.452647542
229,0.445359717
230,0.3746101639999999
231,0.131590411
232,0.387708356
233,0.4662520879999999
234,0.444177572
235,0.062514654
236,0.444177572
237,0.444177572
238,0.473248297
239,0.235946571
240,0.314821823
241,0.266011766
242,0.316058891
243,0.513772173
244,0.319807974
245,0.300796346
246,0.573961307
247,0.444177572
248,0.444177572
249,0.570666305
250,0.5969794039999999
251,0.317483386
252,0.467460157
253,0.302668514
254,0.171283101
255,0.275330298
256,0.444177572
257,0.273062291
258,0.311560568
259,0.412538327
260,0.482627649
261,0.592269412
262,0.416348046
263,0.444177572
264,0.205030523
265,0.287096695
266,0.423352557
267,0.61187951
268,0.534064463
269,0.6430682329999999
270,0.529873923
271,0.630299587
272,0.6430682329999999
273,0.7173811840000001
274,0.356366213
275,0.546638895
276,0.620489541
277,0.209412264
278,0.617513719
279,0.6023953000000001
280,0.639617305
281,0.593247976
282,0.6430682329999999
283,0.716054801
284,0.664611397
285,0.471612246
286,0.318242674
287,0.539969967
288,0.360092154
289,0.486599037
290,0.548039382
291,0.450166072
292,0.53138266
293,0.5712056120000001
294,0.444177572
295,0.6430682329999999
296,0.6430682329999999
297,0.472731662
298,0.363943468
299,0.384653085
300,0.397944539
301,0.621711959
302,0.510792331
303,0.594334111
304,0.569519534
305,0.487876562
306,0.358895619
307,0.673988969
308,0.381168347
309,0.4629498179999999
310,0.51237376
311,0.583716979
312,0.218617825
313,0.515328271
314,0.2655837
315,0.378764214
316,0.703049422
317,0.687401135
318,0.429032995
319,0.4393807289999999
320,0.5433035039999999
321,0.779860562
322,0.432780702
323,0.45631385
324,0.383093398
325,0.673639144
326,0.275181444
327,0.588087869
328,0.334302773
329,0.6430682329999999
330,0.722847235
331,0.466726512
332,0.455142732
333,0.480105597
334,0.305564378
335,0.330706771
336,0.59832098
337,0.444177572
338,0.460173214
339,0.763938828
340,0.450216087
341,0.4607426779999999
342,0.603320749
343,0.444177572
344,0.318242674
345,0.41835777
346,0.3345057389999999
347,0.481127015
348,0.496307296
349,0.476689259
350,0.358149212
351,0.555503655
352,0.613447859
353,0.364685191
354,0.318242674
355,0.347457486
356,0.5299360129999999
357,0.503036114
358,0.365074122
359,0.817976103
360,0.627237221
361,0.400384148
362,0.4740446
363,0.5676389860000001
364,0.392070119
365,0.4681590929999999
366,0.37313977
367,0.415692542
368,0.550479493
369,0.453124976
370,0.444177572
371,0.2416025269999999
372,0.282399845
373,0.5371522910000001
374,0.585454379
375,0.723260557
376,0.5923842220000001
377,0.270438872
378,0.277142811
379,0.561284008
380,0.413951462
381,0.45375588
382,0.444177572
383,0.615375578
384,0.702541835
385,0.533937454
386,0.28522734
387,0.416521214
388,0.406645981
389,0.617060519
390,0.655940494
391,0.353783527
392,0.267003242
393,0.609740404
394,0.404901307
395,0.444177572
396,0.743964592
397,0.666021651
398,0.098791727
399,0.539713242
400,0.444216902
401,0.380739867
402,0.4290232879999999
403,0.605304966
404,0.499853328
405,0.367386726
406,0.3602991239999999
407,0.444177572
408,0.444177572
409,0.3792380279999999
410,0.7053459320000001
411,0.5698333760000001
412,0.361962167
413,0.444177572
414,0.6085591579999999
415,0.755239164
416,0.444177572
417,0.474806915
418,0.533277357
419,0.493013415
420,0.6430682329999999
421,0.34383373
422,0.444177572
423,0.355109745
424,0.615945038
425,0.444177572
426,0.444177572
427,0.444177572
428,0.444177572
429,0.4046759629999999
430,0.444177572
431,0.6430682329999999
432,0.761825525
433,0.405948679
434,0.444177572
435,0.444177572
436,0.444177572
437,0.549254138
438,0.55342351
439,0.444177572
440,0.444177572
441,0.438543222
442,0.6430682329999999
443,0.444177572
444,0.444177572
445,0.444177572
446,0.444177572
447,0.323620808
448,0.444177572
449,0.254098546
450,0.444177572
451,0.634233889
452,0.3727507929999999
453,0.444177572
454,0.4203499679999999
455,0.507132591
456,0.438341593
457,0.625683066
458,0.267847222
459,0.308935307
460,0.444177572
461,0.6870354679999999
462,0.237952159
463,0.444177572
464,0.25258773
465,0.444177572
466,0.444177572
467,0.444177572
468,0.292438307
469,0.444177572
470,0.368348042
471,0.725259329
472,0.444177572
473,0.444177572
474,0.25135566
475,0.591805601
476,0.444177572
477,0.444177572
478,0.196635403
479,0.415509517
480,0.492261092
481,0.6430682329999999
482,0.444177572
483,0.603294505
484,0.444177572
485,0.444177572
486,0.725321937
487,0.444177572
488,0.6954253859999999
489,0.240117222
490,0.6430682329999999
491,0.704675782
492,0.6147939929999999
493,0.4862647479999999
494,0.444177572
495,0.65484016
496,0.444177572
497,0.444177572
498,0.444177572
499,0.646781941
500,0.444177572
501,0.444177572
502,0.343169572
503,0.444177572
504,0.578838186
505,0.503185378
506,0.444177572
507,0.245054008
508,0.6430682329999999
509,0.565079754
510,0.602499979
511,0.512642561
512,0.2288844589999999
513,0.729022552
514,0.481865926
515,0.444177572
516,0.414781709
517,0.52432073
518,0.286943867
519,0.444177572
520,0.117892078
521,0.444177572
522,0.459708762
523,0.37403682
524,0.444177572
525,0.479990892
526,0.444177572
527,0.412426446
528,0.405754437
529,0.70157156
530,0.6430682329999999
531,0.444177572
532,0.5722907620000001
533,0.6430682329999999
534,0.5383379620000001
535,0.58663262
536,0.672640325
537,0.5432818779999999
538,0.6430682329999999
539,0.434513078
540,0.444177572
541,0.573881697
542,0.626581712
543,0.272327661
544,0.444177572
545,0.481029291
546,0.43396482
547,0.444177572
548,0.597354791
549,0.6430682329999999
550,0.6430682329999999
551,0.54130997
552,0.444177572
553,0.444177572
554,0.516370012
555,0.444177572
556,0.493925513
557,0.444177572
558,0.444233322
559,0.6430682329999999
560,0.451823362
561,0.291442446
562,0.6430682329999999
563,0.54237017
564,0.738926215
565,0.444177572
566,0.796903363
567,0.491513292
568,0.444177572
569,0.8013292670000001
570,0.108628539
571,0.444177572
572,0.69392563
573,0.429822047
574,0.375041402
575,0.586902647
576,0.491742877
577,0.1875269989999999
578,0.415147802
579,0.5518590529999999
580,0.639452765
581,0.6430682329999999
582,0.486653651
583,0.444177572
584,0.444177572
585,0.46648845
586,0.343454086
587,0.444177572
588,0.5072115970000001
589,0.444177572
590,0.444177572
591,0.444177572
592,0.365665578
593,0.444177572
594,0.588516162
595,0.25123558
596,0.444177572
597,0.465406321
598,0.538223033
599,0.501428463
600,0.726249032
601,0.678766546
602,0.28865954
603,0.599975186
604,0.4017613539999999
605,0.541138717
606,0.444177572
607,0.569576946
608,0.444177572
609,0.6494187810000001
610,0.6414424470000001
611,0.600424443
612,0.5599615579999999
613,0.742591445
614,0.250199133
615,0.635969741
616,0.6430682329999999
617,0.558784424
618,0.6430682329999999
619,0.444177572
620,0.444177572
621,0.739758495
622,0.675295717
623,0.241569813
624,0.355916617
625,0.743729491
626,0.171780068
627,0.6430682329999999
628,0.444177572
629,0.3509006839999999
630,0.6430682329999999
